priority	kind	status	topic	path	note
100	current-rule	current	协同/模型/能力/记忆闭环/PG/Core/主判/工具/专家补强	03-rebuild-code/docs/03-Core-PG主判与外部工具权力结构-V1.md	上位规则总入口
95	current-rule	current	总入口/分流/读取停止/题型	03-rebuild-code/docs/03-总入口分流读取停止总卡-V1.md	总入口判题规则
90	current-rule	current	启动入口/后层读取	03-rebuild-code/docs/03-启动总入口-V1.md	启动入口
90	current-rule	current	调用入口/后层读取	03-rebuild-code/docs/03-调用总入口-V1.md	调用入口
88	current-rule	current	同步/只保脑/System-Snapshots/GitHub/Core/PG/2:00/3:00/4:00/2点/3点/4点	03-rebuild-code/docs/02自动同步硬规则-只保脑不包运行体.md	同步链上位入口
85	entry	current	PG入口/READ-ORDER/协同记忆闭环	PG/brain/READ-ORDER.md	PG本地入口锚点
84	entry	current	PG入口/README/协同记忆闭环	PG/brain/README.md	PG本地入口锚点
83	entry	current	PG独立脑/读取顺序/memory降权	PG/brain/00-GOVERNANCE/RULES/PG-独立脑规则.md	PG本地执行入口
85	entry	current	Core入口/BRAIN-ENTRY/协同记忆闭环	02-brain/08-IMPORT-STAGING/FROM-CORE-LIVE/BRAIN-ENTRY.md	Core同步入口锚点
84	entry	current	Core入口/AGENTS/协同记忆闭环	02-brain/08-IMPORT-STAGING/FROM-CORE-LIVE/AGENTS.md	Core同步入口锚点
83	entry	current	Core入口/BOOTSTRAP/协同记忆闭环	02-brain/08-IMPORT-STAGING/FROM-CORE-LIVE/BOOTSTRAP.md	Core同步入口锚点
75	rule	current	Core能力触发/回归/Kimi/Gemma4/oMLX/GPT-5.4	02-brain/08-IMPORT-STAGING/FROM-CORE-LIVE/CORE-能力触发与回归规则-V1.md	Core本地能力规则
70	rule	current	PG模型槽/Gemma4/oMLX/Kimi/GPT-5.4	PG/brain/00-GOVERNANCE/CONTINUITY/PG-模型槽与Gemma4调用规则-V1.md	PG本地能力入口
65	test	current	PG验收题库/测试材料	03-rebuild-code/docs/03-PG单系统能力触发与回归验收题库-V1.md	验收题库，非上位规则
65	test	current	Core验收题库/测试材料	03-rebuild-code/docs/03-Core单系统能力触发与回归验收题库-V1.md	验收题库，非上位规则
55	test	current	运行层配置验收	03-rebuild-code/docs/03-PG运行层配置源统一验收卡-V1.md	验收卡，低于上位规则
40	reference	current	oMLX/Gemma4/图片接口/后台服务	03-rebuild-code/docs/03-oMLX图片接口稳定性验收-V1.md	工具验收材料
40	reference	current	oMLX/Gemma4/后台服务	03-rebuild-code/docs/03-oMLX后台服务稳定性验收-V1.md	工具验收材料
20	deprecated	reference	qwen/Core默认Gemma4/旧口径/历史参考	03-rebuild-code/docs/03-Core-PG主判与外部工具权力结构-V1.md	旧口径只作反例和历史参考
